id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
1TZN000192809878,1,0,0,0,0,0,0,0,1,8,1,1,-0.0342149,-0.0287136,-0.0931271,0.0768984,-0.0219023
2TZN000192810258,2,0,0,0,0,0,0,0,1,8,1,1,-0.0134941,0.0153012,0.00168489,0.0161505,0.00351926
3TZN000192810100,3,0,1,0,0,0,0,0,1,8,1,1,-0.0146283,0.00554464,0.0171929,0.0129994,-0.00380602
4TZN000192810074,4,0,0,0,0,0,0,1,1,8,1,1,-0.00980596,0.0200261,0.0197502,0.0228979,0.00125537
5TZN000192810097,5,0,0,0,0,0,0,0,1,8,1,1,0.00152972,0.00367392,0.0251689,0.0217177,-0.00137913
6TZN000192810077,6,0,0,0,0,0,0,1,1,8,1,1,-0.0300786,-0.0265136,-0.0112946,-0.00472557,0.0103728
7TZN000192810079,7,0,0,0,0,0,0,0,1,8,1,1,0.0386682,-0.00596211,-0.00510054,-0.00453412,0.00267876
8TZN000192810105,8,0,0,0,0,0,0,0,1,8,1,1,-0.0185537,0.00759464,0.0150676,0.00512045,0.00863979
9TZN000192809822,9,0,0,0,0,0,1,0,1,8,1,1,-0.0132135,0.0117166,0.0225859,0.0121117,0.00942864
10TZN000192809823,10,0,0,0,0,0,0,0,1,8,1,1,-0.00774725,0.0133846,0.0263612,0.0212823,0.00111624
11TZN000192809787,11,0,0,0,0,0,0,1,1,8,1,1,-0.0025832,0.0092382,0.0116229,0.0101957,0.00268175
12TZN000192807824,12,0,0,0,0,0,0,1,1,8,1,1,-0.0244821,-0.0190546,0.0216908,-0.0116102,0.00717816
13TZN000192807728,13,0,0,0,0,0,0,1,1,8,1,1,-0.0199981,0.0359774,-0.0222107,0.0035384600000000002,-0.00178662
14TZN000192807747,14,0,0,0,0,1,0,0,1,8,1,1,-0.0201289,0.0219846,0.0156423,0.0157884,0.00399132
15TZN000192807864,15,0,0,0,0,0,0,0,1,8,2,1,-0.0224453,0.00430613,0.0236795,-0.0341402,-0.081214
16TZN000192807818,16,0,0,0,0,0,0,0,1,8,1,1,-0.0195303,0.0229477,0.0106055,0.0262345,-0.00729743
17TZN000192807807,17,0,0,0,1,1,0,0,1,8,1,1,-0.00925473,0.0171698,0.0226085,0.0177399,0.00109395
18TZN000192807815,18,0,0,0,0,0,0,0,1,8,1,1,-0.0098841,0.0230905,0.00711356,0.0174067,-0.00212086
19TZN000192807829,19,1,0,0,0,0,0,1,1,8,1,2,-0.0215808,0.0177736,0.0170403,0.0170917,-3.92893e-4
20TZN000192807738,20,0,0,0,0,0,0,0,1,8,1,1,-0.0172264,0.00767729,0.015535,0.00408644,0.00741973
21TZN000192807755,21,0,0,0,0,0,0,0,1,8,1,1,-0.0175374,0.0110792,0.0252683,0.00378083,0.0077457
22TZN000192807825,22,0,0,0,0,0,0,0,1,8,1,2,-0.017715,0.0241044,0.0254923,0.0262452,0.00452749
